word,series_frequency,english_frequency,vocabulary_level
popularly,1,449207,N/A
instructed,1,2814313,N/A
executed,1,8879901,N/A
intercepted,1,838199,N/A
returning,1,12197026,N/A
insisted,1,2687888,N/A
sedative,1,333596,N/A
puncture,1,883343,N/A
scrap,1,5712869,C2
embedded,1,12156057,N/A
compiling,1,4154508,N/A
formulate,1,2035895,C2
negotiation,1,14354240,C1
hack,1,9882075,N/A
sniffing,1,728863,N/A
injunction,1,2030343,N/A
fang,1,1391444,N/A
encrypted,1,3620536,N/A
duplicated,1,1698585,N/A
clone,1,12020723,N/A
complying,1,1810426,N/A
trending,1,359144,N/A
kidnapped,1,1587915,N/A
clos,1,5872869,N/A
bestiality,1,17086463,N/A
observing,1,4180478,N/A
voluntary,1,11671298,C1
sportsman,1,1433057,N/A
gesture,1,3544213,C1
stake,1,8777760,N/A
covering,1,16772836,N/A
snatch,1,2494449,C2
sicking,1,0,N/A
paradigm,1,5077785,C2
begging,1,1559218,N/A
hereon,1,81751,N/A
shove,1,847364,N/A
briefed,1,811483,N/A
tranquillity,1,522131,N/A
roving,1,709694,N/A
gonzo,1,1046835,N/A
fruition,1,512138,N/A
transmitted,1,9934463,N/A
mapped,1,3300807,N/A
fringe,1,4330309,C2
workable,1,923008,N/A
embed,1,1412819,N/A
ruled,1,5589851,N/A
radical,1,10087925,C1
threatened,1,7160212,N/A
pulled,1,10724879,N/A
questioning,1,3216170,N/A
hoax,1,1795807,N/A
confirmed,1,15335457,N/A
depict,1,3016083,C2
pleading,1,1609676,N/A
involving,1,16376298,N/A
enactment,1,2419739,N/A
raiding,1,299817,N/A
dragged,1,1846171,N/A
sake,1,6673422,N/A
quid,1,748457,N/A
telegraph,1,4611372,N/A
tonally,1,22265,N/A
gross,1,16720425,C1
guardian,1,18175449,N/A
symbolism,1,1156872,N/A
analys,1,9976066,N/A
kidnap,1,623411,N/A
watched,1,10266154,N/A
downing,1,1797688,N/A
voicing,1,557133,N/A
concede,1,1127993,C2
tuning,1,7626753,N/A
abnormal,1,3963331,C1
deviant,1,10178315,N/A
squeezing,1,830359,N/A
patronised,1,38421,N/A
facebook,1,218544,N/A
eco,1,7736515,N/A
sweetheart,1,2157453,N/A
nearer,1,1280000,N/A
cinematic,1,1326902,N/A
authenticity,1,2562043,N/A
pumping,1,3568469,N/A
remotely,1,3415582,N/A
grisly,1,256550,N/A
dwell,1,2423457,N/A
majesty,1,3584416,N/A
collective,1,12276900,N/A
tracing,1,2933230,N/A
untraceable,1,63416,N/A
ran,1,16417708,N/A
traceback,1,386513,N/A
uninterrupted,1,1055834,N/A
closest,1,7011109,N/A
flyover,1,211772,N/A
squad,1,9722053,C2
relay,1,11213082,N/A
scramble,1,1276569,N/A
finessing,1,17124,N/A
finesse,1,588192,N/A
trad,1,1145826,N/A
bish,1,168667,N/A
bash,1,4855625,N/A
bosh,1,336119,N/A
invoice,1,10216631,N/A
wondering,1,9239585,N/A
invoicing,1,817605,N/A
prep,1,9124860,N/A
goon,1,625463,N/A
luminance,1,467635,N/A
aka,1,11570453,N/A
senseless,1,612682,C2
dressing,1,7040916,N/A
beforehand,1,1438671,N/A
joie,1,406960,N/A
vivre,1,316235,N/A
prised,1,50318,N/A
reconnaissance,1,1304699,N/A
await,1,3202456,N/A
undercurrent,1,293276,N/A
disgust,1,915400,C2
captor,1,675419,N/A
outrage,1,1784140,C1
anticipate,1,3780661,C1
squawk,1,166817,N/A
joining,1,10606585,N/A
trimmed,1,1971349,N/A
twinkle,1,851121,N/A
courier,1,8959056,N/A
dropped,1,12265666,N/A
kidnapper,1,481524,N/A
removing,1,9439327,N/A
mistaken,1,2411938,C1
trickery,1,269963,N/A
believed,1,13851733,N/A
recognised,1,6297911,N/A
tweeted,1,0,N/A
hivemind,1,107467,N/A
fulfil,1,2042134,N/A
shifting,1,3925159,N/A
voter,1,14963689,C2
hitting,1,6061673,N/A
decoy,1,910164,N/A
bounced,1,1228595,N/A
proxy,1,12059975,N/A
rts,1,1690444,N/A
rescued,1,1678575,N/A
mannequin,1,626466,N/A
questionable,1,2492735,C2
putting,1,18519708,N/A
insurrection,1,539930,N/A
utterly,1,2679629,C1
polling,1,3366784,N/A
disgraced,1,305056,N/A
travelling,1,6271787,N/A
studios,1,15144063,N/A
ratified,1,1594263,N/A
sonic,1,7912665,N/A
nausea,1,2311479,N/A
hardened,1,1520707,N/A
standstill,1,397652,N/A
injection,1,12706105,C2
docile,1,202388,N/A
unprecedented,1,3231001,C2
possessing,1,1344167,N/A
commence,1,3358361,C2
eyeline,1,20388,N/A
misinterpreted,1,314778,N/A
stumbling,1,867151,N/A
saved,1,19635976,N/A
ordeal,1,885421,C2
unconcerned,1,190716,N/A
assured,1,6038675,N/A
accompanied,1,8119884,N/A
valour,1,252201,N/A
announcing,1,2771344,N/A
bloom,1,7186785,N/A
coerced,1,360223,N/A
committing,1,2148886,N/A
arrived,1,15056872,N/A
controversy,1,6086402,C1
describing,1,7620342,N/A
artwork,1,12251232,N/A
commentator,1,2433680,N/A
participated,1,6474500,N/A
