word,series_frequency,english_frequency,vocabulary_level
sustain,1,4680946,C2
terraformed,1,0,N/A
formed,1,19429976,N/A
ruled,1,5589851,N/A
interplanetary,1,345830,N/A
enlightened,1,1547532,N/A
refused,1,9323160,N/A
devastating,1,2446064,C1
ensured,1,1588066,N/A
enlightenment,1,2905016,N/A
cannibal,1,915119,N/A
advancement,1,5880886,N/A
meddle,1,189363,N/A
meddled,1,25427,N/A
meddlesome,1,33722,N/A
dreaming,1,3136420,N/A
amp,1,17885306,N/A
subconscious,1,746396,N/A
implant,1,5534969,N/A
startling,1,1071701,N/A
deployment,1,10875173,N/A
unstable,1,4691072,N/A
neural,1,5292673,N/A
stripping,1,3288705,N/A
fragment,1,8654543,N/A
manifest,1,3832998,N/A
borderline,1,1109559,N/A
lucid,1,1105349,N/A
unanimous,1,2520971,C2
conditioned,1,3411409,N/A
combat,1,15171320,C2
shaft,1,7887354,N/A
backtrack,1,269226,N/A
bias,1,9792927,C2
parliamentary,1,6572284,N/A
override,1,4314705,N/A
scanned,1,5360194,N/A
prodigy,1,1548269,N/A
walked,1,10905602,N/A
infiltrate,1,580971,N/A
diplomatic,1,3682737,C1
covert,1,2062824,N/A
galaxy,1,10653197,N/A
judging,1,3271774,N/A
deteriorating,1,711763,N/A
gleaned,1,474339,N/A
psychosis,1,693904,N/A
ailing,1,615697,N/A
resemble,1,3232978,C1
checked,1,15762226,N/A
offset,1,13733862,C2
turbulence,1,1675989,N/A
excitable,1,176497,N/A
crashing,1,1901462,N/A
prepped,1,118835,N/A
loading,1,17433118,N/A
robbing,1,455109,N/A
occupying,1,1423879,N/A
sphincter,1,363714,N/A
fret,1,1276223,N/A
crashed,1,2295284,N/A
innocked,1,0,N/A
rockety,1,0,N/A
wider,1,8186703,N/A
lookout,1,2090189,N/A
treating,1,6876896,N/A
traumatized,1,285408,N/A
guiding,1,3747104,N/A
courteous,1,1267713,C2
thorn,1,2129678,N/A
tickle,1,1533089,N/A
harder,1,8956549,N/A
raggedy,1,346658,N/A
straighten,1,778455,N/A
flattened,1,681575,N/A
downy,1,288639,N/A
mister,1,2230767,N/A
fiddling,1,405701,N/A
worship,1,13697726,C1
choked,1,575811,N/A
turd,1,400705,N/A
manpower,1,2371829,N/A
enforce,1,5423378,C1
rim,1,9439808,N/A
cashy,1,0,N/A
rattle,1,1541835,N/A
bowed,1,915747,N/A
intently,1,400478,N/A
belly,1,8199698,N/A
ensue,1,706105,N/A
guessed,1,1496547,N/A
undue,1,1377567,C2
fussing,1,115438,N/A
fought,1,5535215,N/A
petty,1,3195594,C2
authorization,1,10968578,N/A
repeater,1,1897574,N/A
lawman,1,130613,N/A
graze,1,364990,N/A
yelling,1,1395556,N/A
pitching,1,2575364,N/A
blowing,1,5695084,N/A
ate,1,6205908,N/A
barn,1,7175453,C2
closing,1,18813715,N/A
swallowed,1,1446160,N/A
casualty,1,5822925,C2
getaway,1,5368449,N/A
breadth,1,2207395,N/A
riddling,1,16963,N/A
bounty,1,2392865,N/A
hasty,1,700024,N/A
meantime,1,3568612,N/A
smoother,1,1230532,N/A
mercy,1,7059578,C2
begging,1,1559218,N/A
slowed,1,1684926,N/A
dumped,1,1839893,N/A
payload,1,3002389,N/A
skunked,1,16440,N/A
stranded,1,2285325,C2
