expression,frequency,translation,idiomaticity_score,example
oh my god,4,о боже мой,9,N/A
i m sorry,4,мне жаль,8,N/A
that big of a deal,2,это такая большая проблема,6,"It's really not that big of a deal, Mr"
way you re full of shit,2,как ты полон дерьма,8,N/A
am i supposed to know,2,я должен знать?,6,"Well, how the fuck am I supposed to know which one you're at"
wasn t really,2,на самом деле не было,5,N/A
i m telling you,2,я тебе говорю,6,N/A
please don t,2,"пожалуйста, не",6,N/A
i swear to god,2,клянусь богом,9,- I swear to God
dressed like a hooker,2,одета как шлюха,8,"- Yo, why are dressed like a hooker"
is a big deal,2,это большая сделка,7,"No, it is a big deal"
whatever the fuck,2,"что угодно, блядь",10,Like whatever the fuck you've done
no fucking way,2,да ну нахуй,9,- No fucking way
don t even,2,даже не,7,N/A
i hadn t,2,я не,5,N/A
a lot of shit,2,много дерьма,8,"Look, I'm going through a lot of shit right now"
