word,series_frequency,english_frequency,vocabulary_level
rained,1,599532,N/A
ledge,1,1413266,N/A
bender,1,1885860,N/A
locked,1,10837051,N/A
arrested,1,9147670,N/A
lightbulb,1,344790,N/A
dozed,1,91195,N/A
nibbling,1,151674,N/A
woke,1,2630503,N/A
chewing,1,1507050,N/A
goo,1,3878783,N/A
wondered,1,4065715,N/A
dreaming,1,3136420,N/A
gonorrhea,1,401459,N/A
orbital,1,2978750,N/A
cavity,1,3901888,N/A
precision,1,13519376,N/A
eyedropper,1,62077,N/A
formed,1,19429976,N/A
allegation,1,5763942,C1
burglarized,1,45457,N/A
autonomously,1,219640,N/A
gentlemen,1,3837865,N/A
solving,1,9935681,N/A
confidential,1,10937497,C1
mandate,1,7104811,N/A
gathering,1,12907959,C1
shield,1,12985151,C1
hassle,1,4520382,N/A
abrasion,1,1000483,N/A
torso,1,1769562,N/A
upside,1,2921449,N/A
obfuscation,1,220178,N/A
commander,1,11832701,C2
leverage,1,4523284,N/A
haven,1,11251484,N/A
polluter,1,383868,N/A
emit,1,1768627,C2
rezoning,1,596869,N/A
renewal,1,11310941,C1
passing,1,15522371,N/A
legislature,1,11279124,N/A
sprawl,1,1028239,N/A
staging,1,2401064,N/A
commanding,1,1853782,N/A
lieutenant,1,4186167,N/A
surpris,1,2485526,N/A
duality,1,1267600,N/A
effected,1,1645475,N/A
vinyl,1,17236773,N/A
imprint,1,5344469,N/A
residue,1,7068372,N/A
pelvic,1,1430981,N/A
gauge,1,12180292,N/A
trauma,1,5434737,C2
induced,1,12566340,N/A
coup,1,2616528,C2
modus,1,592874,N/A
operandi,1,218437,N/A
shotgun,1,2749996,N/A
blast,1,10866206,N/A
tossed,1,1831899,N/A
upstate,1,1431975,N/A
brownie,1,968396,N/A
informant,1,1320543,N/A
peligro,1,61157,N/A
prom,1,4267925,N/A
clint,1,2481872,N/A
scamp,1,837845,N/A
rake,1,2049404,N/A
carpal,1,893307,N/A
screw,1,12194010,N/A
psychiatrist,1,2307177,C2
circled,1,622289,N/A
cig,1,570373,N/A
influx,1,1158378,C2
sucking,1,10301698,N/A
runoff,1,2771128,N/A
afforded,1,1917385,N/A
acting,1,18407646,N/A
documented,1,7748021,N/A
unenviable,1,76427,N/A
owed,1,2256361,N/A
gangster,1,1711148,N/A
voided,1,271023,N/A
quoted,1,9915470,N/A
stake,1,8777760,N/A
diminished,1,1943681,N/A
burnout,1,1444969,N/A
mortgaged,1,291699,N/A
meant,1,17832930,N/A
dime,1,2693913,N/A
celebrated,1,4475405,N/A
imminent,1,2023614,C2
demeanor,1,509529,N/A
distressed,1,1611230,C1
headach,1,2685626,N/A
broke,1,10460811,N/A
solved,1,6710172,N/A
debrief,1,153096,N/A
hump,1,2311044,N/A
fag,1,977692,N/A
hitting,1,6061673,N/A
clocked,1,377405,N/A
stud,1,12692864,N/A
pawn,1,1502253,N/A
dynamite,1,2019294,N/A
anecdote,1,1685864,N/A
coordinate,1,15138068,N/A
apologized,1,559056,N/A
wit,1,6035807,C1
schoolyard,1,237559,N/A
altercation,1,345570,N/A
beating,1,5235058,N/A
provoke,1,1214644,C2
recorder,1,19818598,N/A
dare,1,7060157,N/A
writ,1,2143475,N/A
supervised,1,3141620,N/A
petitioning,1,224349,N/A
sole,1,14167039,C1
custody,1,7459454,C2
decency,1,754590,N/A
petition,1,14620496,N/A
paternity,1,1122549,N/A
mouthed,1,401042,N/A
gesture,1,3544213,C1
pal,1,12781647,N/A
cosmetic,1,19552099,N/A
discretion,1,8936529,C2
confidentiality,1,5473407,N/A
treating,1,6876896,N/A
neuros,1,245506,N/A
paying,1,19621495,N/A
frequented,1,419434,N/A
ignited,1,494043,N/A
loathing,1,720103,C2
resulted,1,10647532,N/A
tendency,1,5996629,C1
relaps,1,142022,N/A
compound,1,17968420,N/A
sexually,1,5310148,N/A
obsessed,1,1895576,N/A
airing,1,976531,N/A
curb,1,3987680,C2
speculation,1,3360899,C1
conducting,1,7945868,N/A
incoorated,1,0,N/A
overdue,1,1463329,N/A
shakedown,1,289090,N/A
kickback,1,448932,N/A
gross,1,16720425,C1
vig,1,470343,N/A
bust,1,5258179,N/A
squashed,1,294415,N/A
undocumented,1,892661,N/A
coke,1,3602704,N/A
dusted,1,386992,N/A
losing,1,12607223,N/A
departed,1,1816797,N/A
destroyer,1,1882724,N/A
tracing,1,2933230,N/A
unseen,1,1719077,N/A
unfettered,1,383851,N/A
closer,1,15446664,N/A
happening,1,13986796,N/A
offspring,1,3563945,C2
innuendo,1,286651,N/A
bigger,1,13236401,N/A
muscling,1,32660,N/A
handshake,1,869299,N/A
whatnot,1,408619,N/A
punched,1,1072910,N/A
uncaring,1,135458,N/A
industrious,1,302561,C2
decor,1,12465988,N/A
blowout,1,2146723,N/A
scratching,1,1397732,N/A
prost,1,161175,N/A
suburban,1,5658954,N/A
inland,1,5042715,N/A
capitalist,1,3224137,C2
ran,1,16417708,N/A
leas,1,4150762,N/A
incentif,1,8625429,N/A
busted,1,1704787,N/A
filth,1,2077997,N/A
hock,1,456487,N/A
mob,1,4345084,N/A
knif,1,7736647,N/A
encountered,1,6108842,N/A
overpower,1,227107,N/A
equalizer,1,1373393,N/A
feminism,1,1870089,N/A
commune,1,1294374,N/A
hippie,1,1073080,N/A
transparency,1,6111634,N/A
tapped,1,1648690,N/A
compromised,1,2156859,N/A
solicit,1,1670469,N/A
unbridled,1,326894,N/A
fuckup,1,16282,N/A
rag,1,3380983,N/A
vodka,1,2155662,N/A
pit,1,10619913,C2
licens,1,9442167,N/A
liked,1,11282738,N/A
trim,1,11465605,N/A
booked,1,3972989,N/A
goodwill,1,2985605,N/A
unnoticed,1,735869,C1
squad,1,9722053,C2
beep,1,1708820,N/A
hoping,1,8825881,N/A
talked,1,9582713,N/A
checked,1,15762226,N/A
detecting,1,2934762,N/A
proficient,1,2199374,N/A
dealing,1,19196259,N/A
wanting,1,7463610,N/A
lining,1,5226605,N/A
dumping,1,2377175,N/A
privy,1,773500,N/A
croak,1,200671,N/A
darlin,1,434427,N/A
