word,series_frequency,english_frequency,vocabulary_level
slate,1,4093634,N/A
spitting,1,681477,N/A
fake,1,11922383,C1
cube,1,9088165,N/A
overlord,1,550915,N/A
focusing,1,8787624,N/A
revival,1,3745519,C2
faced,1,9938155,N/A
reshoot,1,16413,N/A
ceo,1,14610097,N/A
unannounced,1,320572,N/A
gonzo,1,1046835,N/A
restoring,1,2847991,N/A
sped,1,831623,N/A
scenic,1,6574821,C1
promoted,1,5377031,N/A
bumping,1,572620,N/A
meant,1,17832930,N/A
discreet,1,3245038,C2
discretion,1,8936529,C2
losing,1,12607223,N/A
spawned,1,910559,N/A
adorable,1,2592855,N/A
artsy,1,333481,N/A
fartsy,1,45081,N/A
filmmaking,1,1061519,N/A
liking,1,1773447,N/A
oriented,1,16785804,N/A
closing,1,18813715,N/A
quadrant,1,1626001,N/A
pussiless,1,0,N/A
legacy,1,13788890,C2
gathering,1,12907959,C1
sup,1,4162610,N/A
congrat,1,2038241,N/A
assembling,1,1212486,N/A
mentor,1,7564733,N/A
eloquently,1,385189,N/A
prestige,1,4337527,C1
mutually,1,3259036,N/A
hammering,1,516690,N/A
mof,1,16173116,N/A
pitcher,1,4428853,N/A
crush,1,3904494,C2
quasi,1,2804115,N/A
driven,1,17723706,N/A
finest,1,9668295,N/A
jerk,1,3534323,N/A
cinematic,1,1326902,N/A
hypocrite,1,802034,N/A
hilarious,1,3401735,C1
spoke,1,12161949,N/A
stork,1,859568,N/A
stoop,1,521836,N/A
pitching,1,2575364,N/A
trigger,1,10998982,C1
mazel,1,105637,N/A
tov,1,416291,N/A
incorporate,1,10784390,C2
crass,1,408565,N/A
stuffed,1,5120285,N/A
destroying,1,2808051,N/A
resonate,1,705908,N/A
rally,1,10456709,C2
asap,1,3535139,N/A
transitioning,1,521513,N/A
lof,1,12741972,N/A
podcast,1,18090669,N/A
studios,1,15144063,N/A
revive,1,1247670,C2
sprawling,1,643805,N/A
granted,1,19576234,N/A
meditation,1,7769378,N/A
worship,1,13697726,C1
drinking,1,18160233,N/A
climax,1,2089991,N/A
screenplay,1,2273485,N/A
filmmaker,1,3150820,N/A
centered,1,5823521,N/A
portrayed,1,1682197,N/A
scenario,1,9972760,C2
walked,1,10905602,N/A
splay,1,138961,N/A
clout,1,639706,N/A
bruschetta,1,114864,N/A
whip,1,4308941,N/A
bail,1,3888706,N/A
bankrupt,1,1411082,C1
marketable,1,916698,N/A
marching,1,2400087,N/A
dropping,1,5094616,N/A
locked,1,10837051,N/A
lovable,1,611002,N/A
mascot,1,2018602,N/A
infamous,1,2123711,N/A
boop,1,784435,N/A
blew,1,2473343,N/A
dumping,1,2377175,N/A
shekel,1,1135348,N/A
lying,1,8260845,N/A
confront,1,2606429,C2
dare,1,7060157,N/A
humiliating,1,622405,C2
swearing,1,940094,N/A
dime,1,2693913,N/A
urinating,1,255567,N/A
hydrant,1,572661,N/A
brutal,1,5675803,C1
broke,1,10460811,N/A
stole,1,3091656,N/A
hired,1,6526426,N/A
thrust,1,3845802,N/A
mutilated,1,355209,N/A
pigeon,1,3520812,N/A
gig,1,9498518,N/A
monstrosity,1,213693,N/A
smothered,1,347988,N/A
crib,1,5271630,N/A
trash,1,7153973,C2
overhead,1,7744326,N/A
nonexclusive,1,159050,N/A
lucrative,1,1353990,C2
exclusivity,1,580322,N/A
slept,1,2370802,N/A
panicking,1,141459,N/A
happier,1,1879427,N/A
grinder,1,3594841,N/A
panicked,1,328705,N/A
idol,1,6708398,C1
entitled,1,18140595,N/A
nepo,1,0,N/A
beanie,1,2351093,N/A
nonstop,1,1063797,N/A
acting,1,18407646,N/A
inauthentic,1,38863,N/A
faceless,1,350131,N/A
talentless,1,68514,N/A
spineless,1,163477,N/A
loved,1,19719299,N/A
departed,1,1816797,N/A
sucked,1,2471917,N/A
sobbing,1,346430,N/A
kicking,1,3271617,N/A
martinis,1,331815,N/A
penis,1,18819498,N/A
