word,series_frequency,english_frequency,vocabulary_level
garbage,8,6609450,N/A
doin,7,1167898,N/A
prozac,5,5310970,N/A
aspen,4,4723476,N/A
listening,4,19542217,N/A
comp,4,10555796,N/A
collapsed,3,2427732,N/A
someplace,3,598811,N/A
telling,3,14181895,N/A
supposed,3,14497557,N/A
crying,3,4891725,N/A
geez,3,559306,N/A
ran,3,16417708,N/A
grounded,3,3739928,N/A
mobster,3,364813,N/A
nil,3,6378000,N/A
gettin,2,1197311,N/A
outta,2,1401625,N/A
sitting,2,18868156,N/A
drove,2,5545848,N/A
boo,2,2884230,N/A
czechoslovakian,2,166352,N/A
polack,2,26808,N/A
bucco,2,61662,N/A
whack,2,790692,N/A
eggplant,2,982167,N/A
ate,2,6205908,N/A
tellin,2,211953,N/A
ziti,2,72534,N/A
sayin,2,493494,N/A
havin,2,305232,N/A
younger,2,11985957,N/A
locked,2,10837051,N/A
caught,2,17749748,N/A
nowaday,2,2547379,N/A
med,2,19980830,N/A
rico,2,14643252,N/A
plaza,2,14274314,N/A
gimme,2,1551167,N/A
antidepressant,2,1838777,N/A
meant,2,17832930,N/A
lookin,2,1463900,N/A
decorating,2,8411562,N/A
intimate,2,6340213,C2
therapist,2,8719311,C1
holdin,2,127413,N/A
hollywood,2,19940442,N/A
screenplay,2,2273485,N/A
